Sno,Name,Age,Salary,Designation,Mobile
1,Shabeeh Abbas,28,$82300,senior manager,9080706050
2,Kashish Jaiswal,21,$70000,manager,8798677809
3,Arsh singh,,$64000,senior manager,8490765689
4,kriti rajput,25,$89000,manager,9987650044
5,nisha shukla,26,$58000,assistant manager,8976456001
6,pashant singh,22,$75000,manager,7767890022
7,aishwarya ,,$65000,senior manager,7645678900
8,anjani soni,23,$70980,manager,8900012333
9,aditya verma,24,$456700,assistant manager,9087666340
10,sneha shukla,21,$560000,manager,8900044559
